20250319 054600,19751.75,19752.5,19750,19751,35
20250319 054700,19751.75,19751.75,19742,19742.75,125
20250319 054800,19742.25,19744.25,19742,19743.75,21
20250319 054900,19743.25,19743.25,19739,19739,26
20250319 055000,19740,19741.75,19740,19741,47
20250319 055100,19740.75,19740.75,19739,19739,41
20250319 055200,19738.5,19738.5,19736.25,19737.25,45
20250319 055300,19736.5,19736.75,19732.5,19733.25,43
20250319 055400,19734.5,19735.5,19734.25,19734.25,17
20250319 055500,19734,19734,19731.5,19732.25,20
20250319 055600,19733.25,19736.5,19732.25,19736.25,20
20250319 055700,19736.5,19737.25,19735.5,19736.25,22
20250319 055800,19735.5,19736,19735,19735,7
20250319 055900,19735.5,19738.5,19735.5,19738.25,47
20250319 060000,19737.25,19738.5,19736.25,19736.25,30
20250319 060100,19736,19737,19728.75,19731.75,78
20250319 060200,19732,19733.75,19730.75,19732.75,36
20250319 060300,19733.5,19737.25,19731,19735.25,35
20250319 060400,19734.25,19741,19733.75,19740.5,62
20250319 060500,19740.75,19741.75,19737,19737,34
20250319 060600,19735.75,19736.5,19731.75,19733,53
20250319 060700,19734,19736,19733.25,19736,23
20250319 060800,19735.75,19736.25,19735.25,19735.75,9
20250319 060900,19737.25,19738.75,19736,19737.5,21
20250319 061000,19737.5,19738.75,19736.75,19738,10
20250319 061100,19737.5,19737.5,19734.25,19736.25,37
20250319 061200,19735,19735,19731.25,19732,25
20250319 061300,19732.25,19733,19725,19727,83
20250319 061400,19726.75,19728,19726,19726,27
20250319 061500,19726,19727.25,19724.25,19726.25,38
20250319 061600,19727.5,19728.25,19722.75,19724.75,49
20250319 061700,19725.75,19727.25,19723.5,19727,25
20250319 061800,19727.25,19727.5,19724,19725,27
20250319 061900,19726.25,19729.25,19725.75,19728,50
20250319 062000,19727.25,19729.5,19726,19726,50
20250319 062100,19725,19734,19725,19732.5,72
20250319 062200,19733,19735.75,19732.5,19734.75,59
20250319 062300,19734.75,19735.75,19732,19732,105
20250319 062400,19732.75,19733.5,19731,19731.5,47
20250319 062500,19730.5,19736,19730.5,19733.75,52
20250319 062600,19733,19733.25,19727.75,19728.75,71
20250319 062700,19731.75,19733.25,19731,19731,33
20250319 062800,19731.75,19732.25,19730,19730,6
20250319 062900,19729.75,19736,19729.75,19735.75,53
20250319 063000,19734,19735.25,19717.75,19718.25,232
20250319 063100,19718.25,19725.75,19716.75,19724.5,89
20250319 063200,19725.25,19731,19724.25,19730.5,37
20250319 063300,19730.5,19732.75,19729.25,19732.75,51
20250319 063400,19732.25,19737.5,19732.25,19737.5,41
20250319 063500,19737.5,19741.25,19736,19740.25,73
